Name,Team,KaD,MK,Opk,Clt_won,Bmb_act,Trading,Eff_flash,Utility,Map,Year,Map_Type,Event,Self,Teamplay,Support,Rating,Placement
RUSH,Cloud9,2,6,1,0,0,3.2,2.085,0.27,de_train,22-01-2018,BO1,ELEAGUE Major 2018,8,1,5.555,1.163,1st
autimatic,Cloud9,1.385,5,1.75,0,0.221,2.8,1.226,0.39,de_train,22-01-2018,BO1,ELEAGUE Major 2018,6.385,1.971,4.416,1.106,1st
Skadoodle,Cloud9,2.333,4,2,0,0.649,0.4,3.283,0.48,de_train,22-01-2018,BO1,ELEAGUE Major 2018,6.333,2.649,4.163,1.119,1st
Stewie2K,Cloud9,1.538,6,1.4,1,0.105,0.6,2.21,0.49,de_train,22-01-2018,BO1,ELEAGUE Major 2018,7.538,2.505,3.3,1.125,1st
device,Astralis,1.059,5,0.5,1,0.105,2.8,0.716,0.29,de_train,22-01-2018,BO1,ELEAGUE Major 2018,6.059,1.605,3.806,1.06,9-12th
Kjaerbye,Astralis,0.882,2,0.333,0,0,1.6,0.464,0.28,de_train,22-01-2018,BO1,ELEAGUE Major 2018,2.882,0.333,2.344,0.745,9-12th
Xyp9x,Astralis,1.062,4,1,0,0.105,2.6,1.148,0.25,de_train,22-01-2018,BO1,ELEAGUE Major 2018,5.062,1.105,3.998,1.007,9-12th
dupreeh,Astralis,0.824,3,1,0,0,2.8,1.418,0.28,de_train,22-01-2018,BO1,ELEAGUE Major 2018,3.824,1,4.498,0.97,9-12th
gla1ve,Astralis,0.526,1,0.833,0,0,1.8,1.04,0.39,de_train,22-01-2018,BO1,ELEAGUE Major 2018,1.526,0.833,3.23,0.747,9-12th
tarik,Cloud9,0.8,2,0.5,0,0.221,0.4,1.88,0.41,de_train,22-01-2018,BO1,ELEAGUE Major 2018,2.8,0.721,2.69,0.793,1st
autimatic,Cloud9,0.714,2,1.333,0,0.105,1.2,0.386,0.13,de_train,21-02-2019,BO1,IEM Katowice 2019,2.714,1.438,1.716,0.768,9-12th
dupreeh,Astralis,1.1,3,0,0,0,1.8,0.927,0.2,de_train,21-02-2019,BO1,IEM Katowice 2019,4.1,0,2.927,0.847,1st
Zellsis,Cloud9,0.267,0,1,0,0,1,0.648,0.17,de_train,21-02-2019,BO1,IEM Katowice 2019,0.267,1,1.818,0.489,9-12th
flusha,Cloud9,0.4,0,0,0,0.105,0.2,2.166,0.34,de_train,21-02-2019,BO1,IEM Katowice 2019,0.4,0.105,2.706,0.507,9-12th
RUSH,Cloud9,0.467,1,0,0,0.105,1,1.622,0.25,de_train,21-02-2019,BO1,IEM Katowice 2019,1.467,0.105,2.872,0.648,9-12th
Magisk,Astralis,4.2,5,1,0,0.105,2,0.735,0.25,de_train,21-02-2019,BO1,IEM Katowice 2019,9.2,1.105,2.985,1.124,1st
kioShiMa,Cloud9,0.467,0,1,0,0,1.4,0.934,0.19,de_train,21-02-2019,BO1,IEM Katowice 2019,0.467,1,2.524,0.601,9-12th
Xyp9x,Astralis,6,4,0,0,0.221,0.2,1.681,0.29,de_train,21-02-2019,BO1,IEM Katowice 2019,10,0.221,2.171,1.093,1st
gla1ve,Astralis,2.8,3,1,0,0.105,1.6,1.509,0.4,de_train,21-02-2019,BO1,IEM Katowice 2019,5.8,1.105,3.509,1.018,1st
device,Astralis,4.25,3,1,0,0,1.6,0.259,0.1,de_train,21-02-2019,BO1,IEM Katowice 2019,7.25,1,1.959,1.009,1st
stanislaw,Complexity,1.059,5,1,0,0,3.4,1.608,0.4,de_nuke,21-02-2019,BO1,IEM Katowice 2019,6.059,1,5.408,1.096,9-12th
Rickeh,Complexity,0.889,3,0.75,0,0.105,4.4,0.571,0.22,de_nuke,21-02-2019,BO1,IEM Katowice 2019,3.889,0.855,5.191,0.997,9-12th
Magisk,Astralis,1.143,2,0.25,0,0.221,1,0.166,0.28,de_nuke,21-02-2019,BO1,IEM Katowice 2019,3.143,0.471,1.446,0.704,1st
device,Astralis,1.267,3,0.667,0,0.221,4.2,1.825,0.29,de_nuke,21-02-2019,BO1,IEM Katowice 2019,4.267,0.888,6.315,1.06,1st
ShahZaM,Complexity,0.941,3,0.8,0,0.105,1.6,2.9,0.29,de_nuke,21-02-2019,BO1,IEM Katowice 2019,3.941,0.905,4.79,0.984,9-12th
dupreeh,Astralis,1.467,6,1,0,0.105,3.4,0.763,0.3,de_nuke,21-02-2019,BO1,IEM Katowice 2019,7.467,1.105,4.463,1.115,1st
dephh,Complexity,0.765,3,0.6,0,0.105,1.4,2.971,0.32,de_nuke,21-02-2019,BO1,IEM Katowice 2019,3.765,0.705,4.691,0.962,9-12th
n0thing,Complexity,0.8,2,0,0,0,1.6,0.953,0.24,de_nuke,21-02-2019,BO1,IEM Katowice 2019,2.8,0,2.793,0.748,9-12th
gla1ve,Astralis,1.267,5,0.6,1,0.492,3.2,2.471,0.59,de_nuke,21-02-2019,BO1,IEM Katowice 2019,6.267,2.092,6.261,1.165,1st
Xyp9x,Astralis,2.875,5,1,2,0.35,1.8,1.482,0.61,de_nuke,21-02-2019,BO1,IEM Katowice 2019,7.875,3.35,3.892,1.179,1st
ottoNd,CR4ZY,1.444,8,1.133,1,0.35,4.6,2.422,0.4,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,9.444,2.483,7.422,1.287,9-12th
device,Astralis,1.2,6,1.333,0,0,2.8,1.677,0.47,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,7.2,1.333,4.947,1.13,1st
dupreeh,Astralis,1.429,3,0,0,0.492,4.2,0.519,0.42,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,4.429,0.492,5.139,1.003,1st
nexa,CR4ZY,1.227,6,1.25,0,0.221,5.8,2.239,0.45,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,7.227,1.471,8.489,1.235,9-12th
EspiranTo,CR4ZY,0.545,1,0.4,0,0,1.6,1.632,0.31,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,1.545,0.4,3.542,0.739,9-12th
gla1ve,Astralis,1.733,5,1.167,0,0.221,1,2.637,0.68,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,6.733,1.388,4.317,1.095,1st
LETN1,CR4ZY,0.875,3,0.167,0,0.105,1.6,1.169,0.4,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,3.875,0.272,3.169,0.864,9-12th
Xyp9x,Astralis,2,6,0.8,1,0.35,5.4,4.06,0.64,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,8,2.15,10.1,1.306,1st
Magisk,Astralis,1.857,5,1.667,0,0.105,6.2,1.365,0.4,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,6.857,1.772,7.965,1.22,1st
huNter-,CR4ZY,0.833,3,0,0,0,1.8,3.083,0.46,de_inferno,01-09-2019,BO1,StarLadder Major Berlin 2019,3.833,0,5.343,0.963,9-12th
huNter-,CR4ZY,1.452,14,1.389,1,0.822,5.6,7.35,1.53,de_dust2,01-09-2019,BO1,StarLadder Major Berlin 2019,15.452,3.211,14.48,1.52,9-12th
EspiranTo,CR4ZY,1.317,11,0.7,1,0.492,6.6,8.018,1.16,de_dust2,01-09-2019,BO1,StarLadder Major Berlin 2019,12.317,2.192,15.778,1.481,9-12th
Xyp9x,Astralis,1.25,8,1.5,1,1.718,5,12.095,1.74,de_dust2,01-09-2019,BO1,StarLadder Major Berlin 2019,9.25,4.218,18.835,1.509,1st
ottoNd,CR4ZY,1.543,12,1.042,1,0.492,10.4,9.5,1.3,de_dust2,01-09-2019,BO1,StarLadder Major Berlin 2019,13.543,2.534,21.2,1.571,9-12th
